1a3aA
TM	RMSD	GDTTS	MODEL
0.0906	80.43	7.76	./distfold-jobs/output-1a3aA/extended.pdb
0.2175	15.04	17.24	./distfold-jobs/output-1a3aA/1a3aA_17.pdb
0.2227	15.15	18.10	./distfold-jobs/output-1a3aA/1a3aA_18.pdb
0.2245	15.37	18.62	./distfold-jobs/output-1a3aA/1a3aA_8.pdb
0.2378	15.42	19.48	./distfold-jobs/output-1a3aA/1a3aA_10.pdb
0.2389	14.80	18.79	./distfold-jobs/output-1a3aA/1a3aA_7.pdb
0.2461	14.54	20.34	./distfold-jobs/output-1a3aA/1a3aA_11.pdb
0.3252	9.13	26.38	./distfold-jobs/output-1a3aA/1a3aA_2.pdb
0.3337	9.05	25.00	./distfold-jobs/output-1a3aA/1a3aA_20.pdb
0.3367	8.89	27.24	./distfold-jobs/output-1a3aA/1a3aA_16.pdb
0.3411	8.63	27.24	./distfold-jobs/output-1a3aA/1a3aA_4.pdb
0.3415	9.12	28.79	./distfold-jobs/output-1a3aA/1a3aA_19.pdb
0.3415	8.75	26.90	./distfold-jobs/output-1a3aA/1a3aA_model5.pdb
0.3475	8.88	29.83	./distfold-jobs/output-1a3aA/1a3aA_9.pdb
0.3591	8.94	28.10	./distfold-jobs/output-1a3aA/1a3aA_model2.pdb
0.3676	8.86	28.62	./distfold-jobs/output-1a3aA/1a3aA_model1.pdb
0.3739	8.67	30.00	./distfold-jobs/output-1a3aA/1a3aA_model3.pdb
0.3806	8.71	30.34	./distfold-jobs/output-1a3aA/1a3aA_14.pdb
0.3838	8.82	31.03	./distfold-jobs/output-1a3aA/1a3aA_model4.pdb
0.3972	9.16	31.21	./distfold-jobs/output-1a3aA/1a3aA_6.pdb
0.4342	7.31	33.28	./distfold-jobs/output-1a3aA/1a3aA_5.pdb
1a6mA
TM	RMSD	GDTTS	MODEL
0.0736	87.91	6.95	./distfold-jobs/output-1a6mA/extended.pdb
0.2545	13.37	22.85	./distfold-jobs/output-1a6mA/1a6mA_4.pdb
0.2861	13.47	23.34	./distfold-jobs/output-1a6mA/1a6mA_17.pdb
0.2882	11.66	24.67	./distfold-jobs/output-1a6mA/1a6mA_model3.pdb
0.2915	11.74	25.50	./distfold-jobs/output-1a6mA/1a6mA_model4.pdb
0.3002	11.68	24.01	./distfold-jobs/output-1a6mA/1a6mA_7.pdb
0.3011	12.85	25.17	./distfold-jobs/output-1a6mA/1a6mA_model5.pdb
0.3114	12.65	25.50	./distfold-jobs/output-1a6mA/1a6mA_2.pdb
0.3168	13.43	25.50	./distfold-jobs/output-1a6mA/1a6mA_11.pdb
0.3428	9.48	27.32	./distfold-jobs/output-1a6mA/1a6mA_3.pdb
0.3448	9.61	28.31	./distfold-jobs/output-1a6mA/1a6mA_10.pdb
0.3624	10.43	28.31	./distfold-jobs/output-1a6mA/1a6mA_8.pdb
0.3629	7.86	30.63	./distfold-jobs/output-1a6mA/1a6mA_12.pdb
0.3667	9.77	28.48	./distfold-jobs/output-1a6mA/1a6mA_1.pdb
0.3720	8.81	30.13	./distfold-jobs/output-1a6mA/1a6mA_9.pdb
0.3767	9.74	29.47	./distfold-jobs/output-1a6mA/1a6mA_20.pdb
0.3853	7.68	31.62	./distfold-jobs/output-1a6mA/1a6mA_18.pdb
0.4004	8.46	34.11	./distfold-jobs/output-1a6mA/1a6mA_15.pdb
0.4061	9.08	33.11	./distfold-jobs/output-1a6mA/1a6mA_model2.pdb
0.4062	7.07	33.44	./distfold-jobs/output-1a6mA/1a6mA_16.pdb
0.4185	8.10	32.12	./distfold-jobs/output-1a6mA/1a6mA_model1.pdb
1a70A
TM	RMSD	GDTTS	MODEL
0.1005	54.32	10.31	./distfold-jobs/output-1a70A/extended.pdb
0.1754	13.49	18.56	./distfold-jobs/output-1a70A/1a70A_model2.pdb
0.1857	17.12	16.75	./distfold-jobs/output-1a70A/1a70A_16.pdb
0.1876	17.10	18.04	./distfold-jobs/output-1a70A/1a70A_10.pdb
0.1927	15.03	18.56	./distfold-jobs/output-1a70A/1a70A_13.pdb
0.1929	17.36	18.30	./distfold-jobs/output-1a70A/1a70A_12.pdb
0.1990	15.03	18.56	./distfold-jobs/output-1a70A/1a70A_model4.pdb
0.1996	17.66	19.07	./distfold-jobs/output-1a70A/1a70A_2.pdb
